PERIOD,CUSTOMER,LOCATION_DC,MEMBERSHIP_NCIX
202601,SOLUSI TRIMEGAH PERSADA,JAKARTA KARET TENGSIN,Membership Class A
202601,Ambhara Duta Shanti,BANDUNG LEMBONG,Membership Class B
202601,VARNION TECHNOLOGY SEMESTA,JAKARTA KARET TENGSIN,Membership Class C
202601,JALA LINTAS MEDIA,SEMARANG CANDI,Membership Class B
202601,MEDIA SARANA AKSES (MSA),YOGYAKARTA KOTABARU,
202601,PT JEMBATAN CITRA NUSANTARA,SEMARANG CANDI,
202601,JINOM NETWORK INDONESIA,YOGYAKARTA KOTABARU,
202601,TRANS INDONESIA SUPERKORIDOR (TIS),MAKASSAR MATOANGIN,
202601,MEDIANUSA PERMANA,BATAM CENTRE,
202601,PC24 CYBER TELIN,BANDUNG LEMBONG,
202601,SELARAS CITRA TERABIT,SURABAYA GUBENG,Membership Class B
202601,PT CYBERINDO ADITAMA,BANJARMASIN ULIN,
202601,PT GRAHA INFORMATIKA NUSANTARA,MAKASSAR MATOANGIN,
202601,JALA LINTAS MEDIA,SEMARANG CANDI,
202601,ARTHA TELEKOMINDO,JAKARTA KARET TENGSIN,
202601,PT MULTI BERKAH ABADI,JAKARTA JATINEGARA,
202601,PT HIPERNET INDODATA,MEDAN CENTRUM,
202601,DEKADATA LINGKAR NUSANTARA,YOGYAKARTA KOTABARU,
202601,PT . INSAN SARANA TELEMATIKA,JAKARTA KARET TENGSIN,Membership Class C
202601,CENTRIX MEDIA TEKNOLOGI,JAKARTA KARET TENGSIN,
202601,UNIVERSITAS SEMARANG (Y. ALUMNI UNDIP),BANDUNG LEMBONG,
202601,PDAM KAB TAPIN,SURABAYA KEBALEN,
202601,PT BPR DELTA ARTHA,SURABAYA GUBENG,
202601,UNIVERSITAS MUHAMMADIYAH KALTIM,BALIKPAPAN BATUAMPAR,
202601,PT GLOBAL JARINGAN BORNEO,MAKASSAR MATOANGIN,
202601,PT UNIVERSAL BROADBAND,JAKARTA KARET TENGSIN,
202601,PEMKAB TANAH LAUT,BANJARMASIN ULIN,
202601,PT PENDANAAN TEKNOLOGI NUSA,JAKARTA JATINEGARA,
202601,KEMENTERIAN KOMUNIKASI DAN DIGITAL,JAKARTA JATINEGARA,
202601,PEMKAB PESISIR SELATAN,JAKARTA JATINEGARA,
202601,MITRANET SOFTWERE ONLINE,BANDUNG LEMBONG,
202601,POLDA JAWA TIMUR,SURABAYA GUBENG,
202601,PEMPROV KALIMANTAN SELATAN,DENPASAR KALIASEM,
202601,PEMKAB HULU SUNGAI SELATAN,SURABAYA GUBENG,
202601,PT SINERGI GULA NUSANTARA,SURABAYA KEBALEN,
